ts,providerid,click,revenue
2017081218,800000000,3438,0
2017081418,16,3,3.5328049999999998
2017081500,8,25,39.699999974123536
2017070806,31,1227,0
2017070903,6,20,21.04000001690528
2017071713,19,25,0.402216
2017072317,6,45,50.3200002824036
2017072413,12,118,21.679142
2017080120,19,7,0.285607
2017080600,800000000,5265,0
2017080704,10,3115,5654.670046579936
2017080800,16,1,6.704265
2017081307,28,923,0
2017070112,21,9,17.159999820641506
2017070223,10,3566,5189.990006542477
2017070917,21,9,13.960000489019093
2017071602,31,1626,0
2017072620,8,87,130.89000231617558
2017073016,31,1614,0
2017073113,6,17,75.1000017101183
2017080814,31,2266,0
2017080911,6,7,73.40000303435032
2017081306,60,42986,10336.55774519156
2017081500,10,5583,7279.6300298844835
2017070903,8,34,77.8499999371742
2017071506,26,11,0.41686899999999993
2017071713,21,6,17.190000188463593
2017071720,800000000,3146,0
2017071920,16,14,14.745484000000001
2017072206,19,17,0.27999999999999997
2017072317,8,37,48.66999931874417
2017080120,21,17,64.43000298096307
2017080608,6,7,36.34000095143348
2017080704,12,492,67.81999300000003
2017080718,26,3,0.320442
2017081418,19,4,0.12000000000000001
2017070223,12,142,33.181265
2017071417,800000000,3307,0
2017072302,26,11,1.098364
2017072620,10,8318,10369.390085550034
2017073002,19,6,0.18
2017073113,8,64,109.06000328706754
2017080717,58,2,0
2017080800,19,4,0.11985200000000001
2017080911,8,38,62.73999922002967
2017081307,31,1069,0
2017081404,6,59,231.58000630172657
2017081500,12,194,39.59725300000001
2017081514,26,3,0.502113
2017070709,60,36645,7642.498499075388
2017070903,10,2689,3693.4000391949326
2017071506,28,1435,0
2017072206,21,2,0.19000000884588983
2017072213,800000000,3717,0
2017072317,10,5200,6750.100019949623
2017072413,16,6,12.554181
2017080608,8,18,70.43000114836919
2017080718,28,1343,0
2017081418,21,16,53.579999110348574
2017071505,60,59043,14456.628046207745
2017071920,19,21,0.3300000000000001
2017072302,28,1050,0
2017072620,12,248,53.59441899999999
2017073002,21,1,1.9199999641147505
2017073113,10,8031,11866.830066135195
2017080717,60,126032,35687.90570577871
2017080800,21,5,14.750000366836055
2017080911,10,5199,8001.330031018635
2017081404,8,13,17.990000307090405
2017081514,28,2055,0
